DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,34,0.0,0.43,-11.25925,-52.47205,275.4
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.41,-11.21786,-53.84841,244.3
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.41,-11.21551,-53.82966,1030.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-11.2132,-53.81129,97.6
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.97,-11.20538,-53.84993,69.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-11.20307,-53.83136,344.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-11.20152,-53.83662,76.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-11.20078,-53.813,81.4
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-11.19911,-53.81828,82.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.4,-10.77769,-53.58619,30.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,CONFRESA,Amazônia,34,0.0,0.26,-10.72996,-51.41753,86.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,CONFRESA,Amazônia,34,0.0,0.27,-10.72832,-51.40536,23.4
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,26,0.0,0.4,-10.49315,-53.60704,26.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,CONFRESA,Amazônia,33,0.0,0.26,-10.29287,-51.73404,23.5
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazônia,30,0.0,0.29,-10.20625,-52.82251,91.9
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazônia,28,0.0,0.27,-10.20425,-52.80754,32.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,MATUPÁ,Amazônia,27,0.0,0.44,-10.04503,-54.57944,17.2
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,34,0.0,0.89,-9.89881,-53.6746,107.7
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,34,0.0,1.0,-9.89648,-53.65739,17.1
2024/06/01 17:26:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,34,0.0,0.81,-9.89139,-53.67078,154.5
2024/06/01 19:06:00,AQUA_M-T,Brasil,ACRE,SENA MADUREIRA,Amazônia,11,0.0,0.28,-9.56159,-69.02103,11.9
2024/06/01 19:06:00,AQUA_M-T,Brasil,ACRE,SENA MADUREIRA,Amazônia,12,0.0,0.29,-9.55961,-69.00845,8.7
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,CAMETÁ,Amazônia,-999,0.0,0.0,-1.99892,-49.44551,6.8
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,BREU BRANCO,Amazônia,3,0.0,0.18,-3.42698,-49.12112,12.8
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,BREU BRANCO,Amazônia,3,0.0,0.18,-3.4257,-49.11226,54.4
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,BREU BRANCO,Amazônia,3,0.0,0.18,-3.42442,-49.1034,19.9
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,3,0.0,0.03,-2.98934,-49.27858,7.1
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,3,0.0,0.03,-2.59953,-49.00791,9.8
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,PARAUAPEBAS,Amazônia,16,0.0,0.24,-6.26859,-50.84065,8.3
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,CUMARU DO NORTE,Amazônia,27,0.0,1.0,-9.09818,-51.1425,24.0
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,CAPITÃO POÇO,Amazônia,0,1.1,0.0,-1.79628,-47.16932,17.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,MARANHÃO,ITINGA DO MARANHÃO,Amazônia,6,0.0,0.72,-4.44967,-47.47101,14.4
2024/06/13 17:26:00,AQUA_M-T,Brasil,MARANHÃO,BOM JARDIM,Amazônia,3,0.0,0.05,-4.00854,-46.54739,20.5
2024/06/13 17:26:00,AQUA_M-T,Brasil,MARANHÃO,BOM JARDIM,Amazônia,3,0.0,0.15,-4.00707,-46.53743,8.6
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,6,0.0,0.25,-3.51169,-49.00276,8.7
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,3,0.0,0.15,-3.01671,-48.77259,13.5
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,3,0.0,0.0,-2.5551,-48.07448,6.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,JACUNDÁ,Amazônia,12,0.0,0.81,-4.80262,-49.14378,11.8
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,17,0.0,0.12,-4.54382,-48.05481,12.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,14,0.0,0.1,-4.3387,-48.22429,10.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,15,0.0,0.11,-4.19788,-48.21195,7.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,18,0.0,0.23,-3.98825,-48.10065,12.0
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,18,0.0,0.1,-3.98695,-48.09173,25.8
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,17,0.0,0.72,-8.82131,-49.66783,11.7
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,19,0.0,0.72,-8.81335,-49.67918,32.2
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,18,0.0,0.72,-8.81194,-49.66918,58.0
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,CONCEIÇÃO DO ARAGUAIA,Amazônia,24,0.0,0.34,-8.70112,-49.54002,6.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,28,0.0,0.85,-8.61268,-50.08017,31.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,28,0.0,1.0,-8.61121,-50.06976,18.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,28,0.0,0.88,-9.52728,-50.32621,17.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,3,0.0,0.01,-3.20268,-50.81934,24.2
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,3,0.0,0.14,-3.15518,-50.88675,15.5
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,5,0.0,0.24,-3.76245,-51.13392,9.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO XINGU,Amazônia,42,0.0,0.53,-10.53844,-52.90846,32.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,9,0.0,0.52,-12.25762,-52.67694,32.8
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,29,0.0,0.64,-11.79788,-52.46668,39.2
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,26,0.0,0.64,-11.79149,-52.4624,59.2
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,45,0.0,0.67,-11.65841,-52.79625,26.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,45,0.0,0.62,-11.65188,-52.81027,130.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,45,0.0,0.62,-11.64968,-52.79246,37.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,45,0.0,0.62,-11.64857,-52.81571,77.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,44,0.0,0.62,-11.64624,-52.7979,72.1
